genus,species,cultivar,common_name,usda_code,itree_code,flowering,flower_time,fall_color,edible,fruiting_time,wildlife,native,webpage_link
Abies,grandis,,Grand fir,ABGR,CEL OTHER,,,,,,,,
Abies,lasiocarpa,,Subalpine fir,ABLA,CEL OTHER,,,,,,,,
Abies,magninfica,,California red fir,ABMA,CEL OTHER,,,,,,,,
Abies,pinsapo,,Abeto de españa,ABPI,CES OTHER,,,,,,,,
Abies,procera,,Noble fir,ABPR,CEL OTHER,,,,,,,,
Acer,buergerianum,,Trident maple,ACBU,ACPL,,,,,,,,
Acer ,circinatum,,Vine maple,ACCI,ACPL,,,,,,,,
Acer ,macrophyllum,,Bigleaf maple,ACMA,ACMA,,,,,,,,
Acer ,negundo,,Boxelder,ACNE,ACMA,,,,,,,,
Acer ,palmatum,,Japanese maple,ACPA,ACPL,,,,,,,,
Acer,palmatum,'Dissectum',Lace-leaf maple,ACPADI,ACPL,,,,,,,,
Acer ,platanoides,,Norway maple,ACPL,ACPL,,,,,,,,
Acer,platanoides,'Fairview',Norway maple 'Fairveiw',ACPLFA,ACPL,,,,,,,,
Acer,platanoides,'Queen Eliz',Norway maple 'Queen Elizabeth',ACPLQE,ACPL,,,,,,,,
Acer,platanoides,'Schwedleri',Norway maple 'Schwedler',ACPLSC,ACPL,,,,,,,,
Acer ,pseudoplatanus,,Sycamore maple,ACPS,ACPL,,,,,,,,
Acer ,rubrum,,Red maple,ACRU,ACRU,,,,,,,,
Acer,rubrum,'Morgan',Red maple 'Morgan',ACRUMO,ACRU,,,,,,,,
Acer ,saccharinum,,Silver maple,ACSA1,ACPL,,,,,,,,
Acer ,saccharum,,Sugar maple,ACSA2,ACSA2,,,,,,,,
Acer ,species,,Maple,AC,ACPL,,,,,,,,
Aesculus ,hippocastanum,,Horsechestnut,AEHI,BDL OTHER,,,,,,,,
Ailanthus ,altissima,,Tree of heaven,AIAL,BDM OTHER,,,,,,,,
Albizia ,julibrissin,,Mimosa,ALJU,BDM OTHER,,,,,,,,
Alnus ,rubra,,Red alder,ALRU2,BDM OTHER,,,,,,,,
Betula ,nigra,,River birch,BENI,BEPE,,,,,,,,
Betula ,pendula,,European white birch,BEPE,BEPE,,,,,,,,
Calocedrus ,decurrens,,Incense cedar,CADE2,CADE2,,,,,,,,
Calodendrum ,capense,,Cape chesnut,CACA3,BDM OTHER,,,,,,,,
Carpinus,betulus,'Fastigiata',Hornbeam 'Fastigiata',CABEF,CABEF,,,,,,,,
Carya ,illinoinensis,,Pecan,CAIL,BDL OTHER,,,,,,,,
Catalpa ,speciosa,,Northern catalpa,CASP,BDL OTHER,,,,,,,,
Cedrus ,atlantica,,Atlas cedar,CEAT,CEL OTHER,,,,,,,,
Cedrus ,deodara,,Deodar cedar,CEDE,CEL OTHER,,,,,,,,
Celtis ,occidentalis,,Northern hackberry,CEOC,BDL OTHER,,,,,,,,
Celtis ,sinensis,,Chinese hackberry,CESI4,BDM OTHER,,,,,,,,
Cercidiphyllum ,japonicum,,Katsura tree,CEJA,BDM OTHER,,,,,,,,
Chamaecyparis ,lawsoniana,,Port orford cedar,CHLA2,CEL OTHER,,,,,,,,
Chamaecyparis ,nootkatensis,,Alaska cedar,CHNO,CEL OTHER,,,,,,,,
Chamaecyparis ,obtusa,,Hinoki cypress,CHOB,CES OTHER,,,,,,,,
Chamaecyparis ,pisifera,,Sawara false cypress,CHPI,CES OTHER,,,,,,,,
Chamaecyparis ,thyoides,,Atlantic white cedar,CHTH,CES OTHER,,,,,,,,
Cornus ,florida,,Flowering dogwood,COFL,BDS OTHER,,,,,,,,
Cornus ,nuttallii,,Pacific dogwood,CONU2,BDM OTHER,,,,,,,,
Corylus ,maxima var. purpurea,,Purpule giant filbert,COMA2,BDS OTHER,,,,,,,,
Crataegus ,douglasii,,Black hawthorn,CRDO,CRLA80,,,,,,,,
Crataegus ,laevigata,,Smooth hawthorn,CRLA80,CRLA80,,,,,,,,
Crataegus ,x lavallei,,Carriere hawthorn,CRLA,CRLA80,,,,,,,,
Crataegus ,phaenopyrum,,Washington hawthorn,CRPH,CRLA80,,,,,,,,
Cunninghamia ,lanceolata,,Blue chinese fir,CULA,CEM OTHER,,,,,,,,
Fagus ,sylvatica,,European beech,FASY,FASYAT,,,,,,,,
Fagus,sylvatica,'Atropunicea',Purple leaf beech,FASYAT,FASYAT,,,,,,,,
Fraxinus ,americana,,White ash,FRAM,FRLA,,,,,,,,
Fraxinus ,holotricha,,Moraine ash,FRHO,FRLA,,,,,,,,
Fraxinus ,latifolia,,Oregon ash,FRLA,FRLA,,,,,,,,
Fraxinus ,oxycarpa,,Caucasian ash,FROX,FRLA,,,,,,,,
Fraxinus,pennsylvanica,'Sherwood Glen',Green ash 'Sherwood Glen',FRPESG,FRLA,,,,,,,,
Fraxinus,pennsylvanica,'Marshall',Marshal green ash,FRPEM,FRLA,,,,,,,,
Fraxinus ,velutina,,Velvet ash,FRVE,FRLA,,,,,,,,
Ginkgo ,biloba,,Ginkgo,GIBI,BDL OTHER,,,,,,,,
Gleditsia ,triacanthos,,Honeylocust,GLTR,BDL OTHER,,,,,,,,
Ilex ,aquifolium,,English holly,ILAQ,ILOP,,,,,,,,
Ilex ,opaca,,American holly,ILOP,ILOP,,,,,,,,
Juglans ,regia,,English walnut,JURE,BDM OTHER,,,,,,,,
Juniperus ,chinensis,,Chinese juniper,JUCH,CES OTHER,,,,,,,,
Koelreuteria ,paniculata,,Goldenrain tree,KOPA,BDM OTHER,,,,,,,,
Laburnum ,anagyroides,,Golden chain tree,LAAN2,BDS OTHER,,,,,,,,
Larix ,decidua,,European larch,LADE,BDM OTHER,,,,,,,,
Larix ,decidua,'Pendula',European larch 'Pendula',LADEWPE,BDS OTHER,,,,,,,,
Liquidambar ,orientalis,,Oriental sweetgum,LIOR,BDM OTHER,,,,,,,,
Liquidambar ,styraciflua,,Sweetgum,LIST,BDM OTHER,,,,,,,,
Liriodendron ,tulipifera,,Tulip tree,LITU,BDL OTHER,,,,,,,,
Magnolia ,grandiflora,,Southern magnolia,MAGR,BES OTHER,,,,,,,,
Magnolia ,macrophylla,,Bigleaf magnolia,MAMA,BDM OTHER,,,,,,,,
Magnolia,x soulangiana,,Chinese magnolia; Saucer magnolia,MASO,BDS OTHER,,,,,,,,
Malus ,angustifolia,,Southern crabapple,PYAN,PYAN,,,,,,,,
Malus ,floribunda,,Japanese flowering crabapple,MAFL80,PYAN,,,,,,,,
Malus ,ioensis var plena,,Bechtel crabapple,MAIO,PYAN,,,,,,,,
Malus ,x purpurea var eleyi,,Eleyi crapapple,MAPUEL,PYAN,,,,,,,,
Malus ,sylvestris,,Common crabapple,MASY2,PYAN,,,,,,,,
Morus ,alba,,White mulberry,MOAL,MOAL,,,,,,,,
Parrotia ,persica,,Persian ironwood,PAPE,BDM OTHER,,,,,,,,
Paulownia ,tomentosa,,Royal paulownia,PATO,BDM OTHER,,,,,,,,
Phoenix ,canariensis,,Canary island date palm,PHCA,PHCA,,,,,,,,
